iso3,year,louvain_community,leiden_community,gn_community,dominant_region,community_label
ALB,2015,0,1,24,Pan-Europe,Cluster 0: Pan-Europe
GRC,2015,0,1,2,Pan-Europe,Cluster 0: Pan-Europe
ITA,2015,4,1,2,Pan-Europe,Cluster 4: Pan-Europe
MKD,2015,4,1,25,Pan-Europe,Cluster 4: Pan-Europe
ARG,2015,6,0,2,Latin America & Sub-Saharan Africa,Cluster 6: Latin America & Sub-Saharan Africa
AND,2015,6,0,26,Latin America & Sub-Saharan Africa,Cluster 6: Latin America & Sub-Saharan Africa
BEL,2015,6,0,2,Latin America & Sub-Saharan Africa,Cluster 6: Latin America & Sub-Saharan Africa
CHL,2015,6,0,2,Latin America & Sub-Saharan Africa,Cluster 6: Latin America & Sub-Saharan Africa
DEU,2015,4,1,2,Pan-Europe,Cluster 4: Pan-Europe
ESP,2015,6,0,2,Latin America & Sub-Saharan Africa,Cluster 6: Latin America & Sub-Saharan Africa
FRA,2015,6,0,2,Latin America & Sub-Saharan Africa,Cluster 6: Latin America & Sub-Saharan Africa
MAR,2015,6,0,2,Latin America & Sub-Saharan Africa,Cluster 6: Latin America & Sub-Saharan Africa
URY,2015,6,0,2,Latin America & Sub-Saharan Africa,Cluster 6: Latin America & Sub-Saharan Africa
ARE,2015,1,2,2,South & Western Asia,Cluster 1: South & Western Asia
BGD,2015,1,2,2,South & Western Asia,Cluster 1: South & Western Asia
BHR,2015,1,2,2,South & Western Asia,Cluster 1: South & Western Asia
EGY,2015,1,2,2,South & Western Asia,Cluster 1: South & Western Asia
ERI,2015,8,6,27,Pan-Europe,Cluster 8: Pan-Europe
ETH,2015,7,4,2,Sub-Saharan Africa,Cluster 7: Sub-Saharan Africa
IDN,2015,1,2,2,South & Western Asia,Cluster 1: South & Western Asia
JOR,2015,8,6,2,Pan-Europe,Cluster 8: Pan-Europe
KWT,2015,1,2,2,South & Western Asia,Cluster 1: South & Western Asia
LBN,2015,8,6,2,Pan-Europe,Cluster 8: Pan-Europe
LKA,2015,1,2,2,South & Western Asia,Cluster 1: South & Western Asia
NGA,2015,2,7,14,Sub-Saharan Africa,Cluster 2: Sub-Saharan Africa
NPL,2015,1,2,2,South & Western Asia,Cluster 1: South & Western Asia
PSE,2015,8,6,2,Pan-Europe,Cluster 8: Pan-Europe
QAT,2015,1,2,2,South & Western Asia,Cluster 1: South & Western Asia
SAU,2015,1,2,2,South & Western Asia,Cluster 1: South & Western Asia
SDN,2015,7,4,2,Sub-Saharan Africa,Cluster 7: Sub-Saharan Africa
SOM,2015,7,4,2,Sub-Saharan Africa,Cluster 7: Sub-Saharan Africa
SSD,2015,7,4,2,Sub-Saharan Africa,Cluster 7: Sub-Saharan Africa
