ISO3,Country_Name,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
MMR,Myanmar (Burma),1498.0,555.0,777.0,1617.0,130.0,685.0,317.0,229.0,323.0,61.0,25.0,226.0,215.0,294.0,38.0,27.0,142.0,244.0,348.0,64.0,195.0,157.0,713.0,702.0,278.0,187.0,634.0,118.0,517.0,99.0,558.0,170.0,1031.0,2038.0,2442.0,2334.0,2319.0
MOZ,Mozambique,1149.0,1577.0,1326.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,30.0,0.0,55.0,0.0,51.0,291.0,939.0,867.0,378.0,176.0,151.0,605.0
MRT,Mauritania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,Malawi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MYS,Malaysia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
NER,Niger,0.0,0.0,40.0,29.0,0.0,50.0,34.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,274.0,229.0,74.0,283.0,512.0,456.0,488.0,295.0,925.0,1338.0
NGA,Nigeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,0.0,0.0,0.0,405.0,0.0,325.0,811.0,1629.0,4788.0,4766.0,2451.0,1879.0,1171.0,1341.0,2024.0,2002.0,1563.0,2125.0,1582.0,6463.0
NIC,Nicaragua,526.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NPL,Nepal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,40.0,250.0,156.0,268.0,429.0,3946.0,1341.0,1880.0,1104.0,457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAK,Pakistan,25.0,98.0,99.0,25.0,0.0,80.0,52.0,77.0,127.0,147.0,934.0,225.0,48.0,212.0,237.0,43.0,0.0,200.0,668.0,3195.0,6384.0,5574.0,2640.0,2791.0,1805.0,3086.0,2124.0,788.0,737.0,327.0,378.0,468.0,414.0,677.0,1068.0,1665.0,3351.0
PAN,Panama,920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PER,Peru,1827.0,1099.0,1138.0,1042.0,672.0,253.0,277.0,80.0,93.0,25.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,40.0,50.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
PHL,Philippines,937.0,1316.0,1514.0,430.0,253.0,265.0,152.0,180.0,302.0,93.0,199.0,1567.0,1001.0,662.0,1051.0,339.0,470.0,360.0,439.0,481.0,894.0,332.0,350.0,295.0,514.0,470.0,572.0,550.0,1624.0,420.0,309.0,348.0,266.0,219.0,243.0,176.0,151.0
PNG,Papua New Guinea,0.0,55.0,0.0,35.0,34.0,26.0,29.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0
PRY,Paraguay,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QAT,Qatar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
ROU,Romania,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RUS,Russia (Soviet Union),0.0,192.0,220.0,0.0,145.0,229.0,1754.0,2721.0,0.0,0.0,5854.0,2907.0,791.0,1289.0,480.0,1151.0,682.0,259.0,176.0,404.0,697.0,418.0,359.0,516.0,321.0,173.0,85.0,69.0,53.0,30.0,26.0,30.0,0.0,91502.0,75277.0,75767.0,3468.0
RWA,Rwanda,0.0,1126.0,153.0,87.0,353.0,1882.0,0.0,124.0,1086.0,1096.0,315.0,155.0,2044.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,1807.0,208.0,116.0,83.0,0.0,0.0,0.0,136.0,0.0,0.0,226.0,134.0,0.0,25.0,132.0,44.0,6.0
