iso3,year,climate_vulnerability
NOR,2005,0.258438181318393
NOR,2006,0.257301374691029
NOR,2007,0.256735748758909
NOR,2008,0.255192736870546
NOR,2009,0.254550352308225
NOR,2010,0.252714493089628
NOR,2011,0.253656861347182
NOR,2012,0.255054566936192
NOR,2013,0.255185294527406
NOR,2014,0.254184337171469
NOR,2015,0.254827773865645
NOR,2016,0.255837330760311
NOR,2017,0.256034605455785
NOR,2018,0.256872362189541
NOR,2019,0.256705097134546
NOR,2020,0.256963602052848
NOR,2021,0.256395531638302
NOR,2022,0.255191471668855
NOR,2023,0.2556147185431
NOR,2025,0.2551
NPL,1990,0.5487
NPL,1995,0.553512904019091
NPL,1996,0.561725045690079
NPL,1997,0.559426324767536
NPL,1998,0.555182703425321
NPL,1999,0.559984073057035
NPL,2000,0.558320333876512
NPL,2001,0.563646944641291
NPL,2002,0.552391133973852
NPL,2003,0.551034714506654
NPL,2004,0.551435329057066
NPL,2005,0.544844156777818
NPL,2006,0.543547786004346
NPL,2007,0.531206278537535
NPL,2008,0.529781505965619
NPL,2009,0.527287435398249
NPL,2010,0.521146946672907
NPL,2011,0.514616993631517
NPL,2012,0.513506856315141
NPL,2013,0.509472657160503
NPL,2014,0.505796390058586
NPL,2015,0.504916452701541
NPL,2016,0.50022651998929
NPL,2017,0.505137399429765
NPL,2018,0.489990448056183
NPL,2019,0.477679024590749
NPL,2020,0.484707402872627
NPL,2021,0.490652207174852
NPL,2022,0.490979684097643
NPL,2023,0.490027728692084
NPL,2025,0.49
NRU,1990,0.514
NRU,1995,0.509459804533476
NRU,1996,0.514607580642195
NRU,1997,0.517761336150519
NRU,1998,0.517013532537468
NRU,1999,0.509822533488532
NRU,2000,0.504879363565865
NRU,2001,0.51907099308259
NRU,2002,0.533768459387444
NRU,2003,0.521366075445584
NRU,2004,0.536688146868782
NRU,2005,0.5117380645715
NRU,2006,0.520266342541828
NRU,2007,0.560954222258655
NRU,2008,0.566861630597727
NRU,2009,0.567469475933881
NRU,2010,0.569045931099305
NRU,2011,0.569198237536058
NRU,2012,0.568136551763396
NRU,2013,0.562776240064611
NRU,2014,0.528374362003206
NRU,2015,0.554999777807608
NRU,2016,0.503191039130125
NRU,2017,0.54457668884183
NRU,2018,0.504747614409587
NRU,2019,0.499010213312132
NRU,2020,0.505135293464364
NRU,2021,0.521498695559939
NRU,2022,0.508930201572834
NRU,2023,0.509133496151699
NRU,2025,0.5109
NZL,1990,0.3188
NZL,1995,0.317336398368869
NZL,1996,0.316951985192253
NZL,1997,0.31766528279003
NZL,1998,0.318250240431152
NZL,1999,0.317120714008721
NZL,2000,0.315881152280605
NZL,2001,0.313574554076851
NZL,2002,0.313671667800182
NZL,2003,0.312356198228773
NZL,2004,0.311660362936374
NZL,2005,0.309837055733074
NZL,2006,0.309769068775712
NZL,2007,0.308135027030243
NZL,2008,0.304804921001529
NZL,2009,0.306502996670472
NZL,2010,0.304509030403551
NZL,2011,0.303260934893808
NZL,2012,0.304325577292489
NZL,2013,0.305087376121083
NZL,2014,0.303632159404232
NZL,2015,0.302907976298061
NZL,2016,0.306129278939065
NZL,2017,0.303917581081074
NZL,2018,0.303696156852219
NZL,2019,0.304369305282135
NZL,2020,0.304090232119636
NZL,2021,0.303710150251254
NZL,2022,0.303377602356491
NZL,2023,0.304262215654337
NZL,2025,0.3045
OMN,1990,0.4449
OMN,1995,0.441990041018002
OMN,1996,0.438238908560165
OMN,1997,0.438095687350942
OMN,1998,0.437666126395553
OMN,1999,0.440105264148437
OMN,2000,0.439119237378922
OMN,2001,0.43790835952085
OMN,2002,0.435718148373617
OMN,2003,0.426211462658911
OMN,2004,0.428209562130224
OMN,2005,0.426219717064508
OMN,2006,0.424596398793632
OMN,2007,0.423917909600024
OMN,2008,0.42300688300717
OMN,2009,0.421660994629966
OMN,2010,0.421266977316988
OMN,2011,0.42034215969298
OMN,2012,0.419217425855702
OMN,2013,0.418300163643185
OMN,2014,0.41845215614645
OMN,2015,0.417571641381122
OMN,2016,0.418133122343355
OMN,2017,0.419152903592648
OMN,2018,0.420923627376825
OMN,2019,0.423051959972855
OMN,2020,0.423851556555285
OMN,2021,0.423313604056039
OMN,2022,0.421309559062002
OMN,2023,0.420216953920259
OMN,2025,0.4199
PAK,1990,0.559
PAK,1995,0.553051752021308
PAK,1996,0.552668416452289
PAK,1997,0.55407265352449
PAK,1998,0.552051815192558
PAK,1999,0.549595484131982
PAK,2000,0.547059491589213
PAK,2001,0.543980127880054
PAK,2002,0.544420701931502
PAK,2003,0.543298869416633
PAK,2004,0.536182010155985
PAK,2005,0.534469830518449
PAK,2006,0.532289250890769
PAK,2007,0.531623641205052
PAK,2008,0.536352205415584
PAK,2009,0.532530723442618
PAK,2010,0.531160185987791
PAK,2011,0.530950937604175
PAK,2012,0.521180028445282
PAK,2013,0.520281226890853
PAK,2014,0.520406444703435
PAK,2015,0.515724272983339
PAK,2016,0.517577893687058
PAK,2017,0.518007728910123
PAK,2018,0.51763029206339
PAK,2019,0.506951247587565
PAK,2020,0.508462553338375
PAK,2021,0.511647290668511
PAK,2022,0.51413236664585
PAK,2023,0.515133465900456
PAK,2025,0.5141
PAN,1990,0.4328
PAN,1995,0.42802304067285
PAN,1996,0.426814940254
PAN,1997,0.427311787109532
PAN,1998,0.42725727672485
PAN,1999,0.42434557822088
PAN,2000,0.423207099528489
PAN,2001,0.422277027003646
PAN,2002,0.422111300219669
PAN,2003,0.41985397115998
PAN,2004,0.420004973126934
PAN,2005,0.418952051064355
PAN,2006,0.41645327710843
PAN,2007,0.415102947768499
PAN,2008,0.414765163195056
PAN,2009,0.413678694247517
PAN,2010,0.413670632373399
PAN,2011,0.409683985193785
PAN,2012,0.408026593549533
PAN,2013,0.40689954387127
PAN,2014,0.405735183077294
PAN,2015,0.40451737335103
PAN,2016,0.404104590723951
PAN,2017,0.404233803652863
PAN,2018,0.405026190469971
PAN,2019,0.405059087388519
PAN,2020,0.406154625171401
PAN,2021,0.409354244055769
PAN,2022,0.407037920259903
PAN,2023,0.406459590998431
PAN,2025,0.407
PER,1990,0.4563
PER,1995,0.454131788558447
PER,1996,0.454932435048707
PER,1997,0.454024514348146
PER,1998,0.453380520404758
PER,1999,0.451104510576578
PER,2000,0.451925555428686
PER,2001,0.45041649483267
PER,2002,0.449346187639454
PER,2003,0.450622411669067
PER,2004,0.449146173614033
PER,2005,0.445150810784917
PER,2006,0.443034251543622
PER,2007,0.437200162324403
PER,2008,0.433172459794396
PER,2009,0.434021238366732
PER,2010,0.426204261853152
PER,2011,0.425543403365404
PER,2012,0.422211957824745
PER,2013,0.420082032012466
PER,2014,0.419638432066655
PER,2015,0.418610382819989
PER,2016,0.41849476256328
PER,2017,0.419130102748907
PER,2018,0.419396288086282
PER,2019,0.415062472602087
PER,2020,0.408116465747984
PER,2021,0.410462562088861
PER,2022,0.408896845702446
PER,2023,0.409139536462229
PER,2025,0.405
PHL,1990,0.5037
PHL,1995,0.499359161756268
PHL,1996,0.499116470683725
PHL,1997,0.498989132302672
PHL,1998,0.498510298837535
PHL,1999,0.49667822576448
PHL,2000,0.495019077678436
PHL,2001,0.494667419461123
PHL,2002,0.489171786015559
PHL,2003,0.487295805957329
PHL,2004,0.484411808068319
PHL,2005,0.48444398784707
PHL,2006,0.483575180909931
PHL,2007,0.480321943052218
PHL,2008,0.479318603161144
PHL,2009,0.476885470098027
PHL,2010,0.476553409821965
PHL,2011,0.473255613872667
PHL,2012,0.473569565538227
PHL,2013,0.474348858957079
PHL,2014,0.473055411426584
PHL,2015,0.47321735750757
PHL,2016,0.471922008718057
PHL,2017,0.470245686455201
PHL,2018,0.467591301042969
PHL,2019,0.458656257994649
PHL,2020,0.454175973843537
PHL,2021,0.448997693509986
PHL,2022,0.445290563395014
PHL,2023,0.443831296581348
PHL,2025,0.4343
PLW,1990,0.5521
PLW,1995,0.544844322657092
PLW,1996,0.543787920662984
PLW,1997,0.542208121156714
PLW,1998,0.540520436366338
PLW,1999,0.538757463839605
PLW,2000,0.537572347898365
PLW,2001,0.540315588137175
PLW,2002,0.530966376815127
PLW,2003,0.532705575216749
PLW,2004,0.546931482195584
PLW,2005,0.547823828179377
PLW,2006,0.544551655725395
PLW,2007,0.54771000303823
PLW,2008,0.54672316441117
PLW,2009,0.542493539242745
PLW,2010,0.548728786064469
PLW,2011,0.536659054491353
PLW,2012,0.534627824947655
PLW,2013,0.525067603171788
PLW,2014,0.51996228370819
PLW,2015,0.514950812919954
PLW,2016,0.505278601158375
PLW,2017,0.506930707089808
PLW,2018,0.502215125451901
PLW,2019,0.500628185048913
PLW,2020,0.510137708394506
PLW,2021,0.508546652343951
PLW,2022,0.512241006510836
PLW,2023,0.512616259244501
PLW,2025,0.5168
PNG,1990,0.5503
PNG,1995,0.551743583031196
PNG,1996,0.555893267084172
PNG,1997,0.55932062152509
PNG,1998,0.558772758396146
PNG,1999,0.557583378220758
PNG,2000,0.553235045178009
PNG,2001,0.569686688862575
PNG,2002,0.581918317892381
PNG,2003,0.58477716027127
PNG,2004,0.578270014522787
PNG,2005,0.57620051205289
PNG,2006,0.577780828742751
PNG,2007,0.578129599026375
PNG,2008,0.573916105208838
PNG,2009,0.577091926653305
PNG,2010,0.58079939077733
PNG,2011,0.57596226250152
PNG,2012,0.573849071071731
PNG,2013,0.579846685650587
PNG,2014,0.58295341900761
PNG,2015,0.557201947611321
PNG,2016,0.567195551698301
PNG,2017,0.529891286167263
PNG,2018,0.53979498279377
PNG,2019,0.550290284670532
PNG,2020,0.53924634882507
PNG,2021,0.550574188251041
PNG,2022,0.550349180623927
PNG,2023,0.5495701839912
PNG,2025,0.5535
POL,1990,0.3136
POL,1995,0.312683101215081
POL,1996,0.313308796292633
POL,1997,0.312591881964896
POL,1998,0.312460842110981
POL,1999,0.312438564196976
POL,2000,0.311763374995077
POL,2001,0.311094962163072
POL,2002,0.309725855214253
POL,2003,0.309635172990478
POL,2004,0.308953507404722
POL,2005,0.308418299164702
POL,2006,0.308327617466084
POL,2007,0.309190439115016
POL,2008,0.309081555638668
POL,2009,0.308633356505395
POL,2010,0.307593531038375
POL,2011,0.307944231068481
POL,2012,0.306711067509004
POL,2013,0.305658722872648
POL,2014,0.305575177406473
POL,2015,0.304872058487951
POL,2016,0.304287020077528
POL,2017,0.306269623397326
POL,2018,0.306145325695153
POL,2019,0.30508687275089
POL,2020,0.304681661602221
POL,2021,0.302889721470088
POL,2022,0.3044610578046
POL,2023,0.305653132767215
POL,2025,0.3055
PRK,1990,0.5187
PRK,1995,0.497731552250023
PRK,1996,0.497964066045951
PRK,1997,0.491919424130646
PRK,1998,0.494396586001409
PRK,1999,0.484249888942208
PRK,2000,0.476774730211712
PRK,2001,0.47310153297874
PRK,2002,0.478222392262786
PRK,2003,0.478404699892164
PRK,2004,0.47418350424741
PRK,2005,0.473794697926748
PRK,2006,0.470981317150189
PRK,2007,0.472079415245514
PRK,2008,0.471036534762779
PRK,2009,0.468076477598699
PRK,2010,0.464256865249411
PRK,2011,0.460154351711709
PRK,2012,0.461664739539664
PRK,2013,0.462173047073407
PRK,2014,0.4647255623197
PRK,2015,0.463176677142972
PRK,2016,0.457895366153389
PRK,2017,0.455502069273017
PRK,2018,0.451281919725181
PRK,2019,0.457935301073009
PRK,2020,0.459796915608498
PRK,2021,0.460692320372448
PRK,2022,0.461060651066742
PRK,2023,0.460326605101431
PRK,2025,0.4639
PRT,1990,0.3691
PRT,1995,0.363135571163758
PRT,1996,0.359652586802702
PRT,1997,0.359395654788838
PRT,1998,0.357020034408191
PRT,1999,0.357680198678136
PRT,2000,0.357156141077419
PRT,2001,0.356857576300572
PRT,2002,0.352787108021866
PRT,2003,0.353028381356803
PRT,2004,0.350803468766367
PRT,2005,0.351669292131555
PRT,2006,0.349308254641708
PRT,2007,0.346329367908772
PRT,2008,0.346759594181013
PRT,2009,0.346546873977364
PRT,2010,0.342391582560376
PRT,2011,0.342130616541435
PRT,2012,0.340361125960428
PRT,2013,0.339264625160771
